review_score,review_comment_message
1,"A bolsa que o site descreve não bate com a que recebi. A qualidade do produto é péssima! É uma bolsa maternidade bem frágil. Chegou antes do prazo, porém não recomendo comprar."
2,"Bom dia! Paguei pelo produto e pelo frete para ser entregue na minha casa, mas o produto está no correios e adificuldade de retirar é enorme. Muito insatisfeita."
5,"Recebi antes do prazo previsto, produto perfeito!"
5,Muito bom! 
5,Maravilhoso produto
5,otimo
4,Acho que deveria demora mesmo tempo na entrega
5,Recebi até antes do prazo combinado.  Muito obrigada!
3,"Recebi o produto dentro do prazo, mas o produto deixou muito a desejar, muito frágil, não atendeu as expectativas."
3,Produto bom
2,Me deram dois prazos de entrega e não foi cumprido nenhum dos dois! 
5,Produto ótimo entrega antes do esperado
3,"Não foi entrega total da mercadoria, só entregaram 01 kit sendo que na nota fiscal foi faturado 02 kits"
3,Ok 
5,"Muito bacana, a cor muito linda ficou ótimo no meu banheiro! Assento macio combinado com uma linda cor!"
1,Ainda não recebi meu produto
2,"A bateria chegou estourada, estão nem consegui ligar o termômetro ainda."
5,TUDO OK
4,"O produto é de boa qualidade, porém, comprei na cor branco e recebi na cor rosa. Não efetuei a troca pois para a utilização a cor não iria interferir, e estava com urgência."
3,"Poderia ter vindo com manoal em português , sem ele é complicado entender ??????"
1,já gostei muito dessa sait agora não indico mais
2,Produto bom
5,"Vendedor sério e eficiente! Enviou rapidamente o produto! Tudo certo com o produto, que foi testado e aprovado! Muito bom, recomendo a todos os interessados!"
5,Produto fiel a descrição. Bem embalado para proteção e chegou super rápido.
5,Gostei entrgaram certinho parabens
5,"Minha compra transcorreu perfeitamente, desde a compra até a entrega! Recomendo. "
5,O relógio é lindo. Vale a pena
1,"O fone não e a versão original da samsung, e a qualidade do mesmo é péssima. "
5,"Produto enviado dentro do prazo. Como ainda não tive contato com a mercadoria, não posso opinar em relação à qualidade."
1,Fiz a compra de 2 controles remotos da Samsung e me entregaram controles falsos.  Não recomendo pra ninguém.  Propaganda enganosa.
5,"Chegou em ordem, dentro do prazo, conforme a descrição do site."
5,"Chegou antes do prazo, produto bem acabado, adorei o tamanho pois achei que fosse menor, fiquei super satisfeita com a compra."
5,Comprei o produto por indicação e foi entregue bem embalado e no tempo certo. Adoro o stark
4,"Chegou bem antes do prazo, está funcionando perfeitamente, porém veio na voltagem errada, comprei 110 e veio 220, agora vou vê como faço pra trocar "
1,Não tem informação de postagem do item mesmo ultrapassando a data de recebimento.
2,"Demora na emissão da nota levou mais de semana pra isso, demora na entrega ainda não recebi."
3,"Já comprei nas lojas lannister e o produto chegou bem mas rapido, porem o que comprei chegou e por inquanto tá udo bem."
5,"Produto bom,entrega em tempo menor que o prazo pedi no fds e chegou na outra semana,menos de uma semana para entregar...recomendo"
4,recomendo
5,Acho que deveriam melhorar o rastreio.blz
3,Prazo previsto eram 12 sias. Já se passaram 30 e até agora nasa da mercadoria.
5,Obrigado pelo produto eu estou bem satisfeito pelo produto que foi entregue no praso
5,cumpriram com o prometido
5,lannister é campeã 
4,Como sempre as lannister cumprindo com seus prazos de entrega e produto no mais perfeito estado
4,"Muito satisfeito com a entrega , chegou bem antes do prazo , produto ótimo "
4,Vcs deveriam mandar o manual em português recomendo.
4,O jogo de panelas e lindo e muito bom. So uma das frigideiras que soltou uns pontinhos de tinta. Mas o resto perfeito
1,fico aguardando
4,Esse produto somente será testado na prática numa tentativa real de furto. Aparentemente é funcional e deve inibir a ação dos bandidos. Tem bom acabamento e é de prático uso
5,"Entrega muita rápida, recomendo a todos. "
2,"Não achei legal a loja, pois eu pedi um produto e eles me entregaram outro. Então não indico essa loja targaryen"
5,Produto muito bonito de excelente qualidade e o melhor recebi muito antes do prazo estabelecido.
5,"Otimo produto, acabamento, qualidade...  Entrega rapida e antecipada;  Recomendo!"
5,"Fiz uma excelente compra, o produto chegou antes do esperado e estava em perfeito estado. Obgda."
5,Tá de parabéns rapidez na entrega Maravilha 
4,Sem nenhuma ocorrência. tudo dentro do programado.
5,"Produto excelente, em ótimo estado e entregue antes do prazo! Ótimo."
3,"A greve dos caminhoneiros afetou diretamente o serviço de entregas de encomendas, mas estou no aguardo. "
5,Bom atendimento diante do que foi solicitado
5,Chegou bem antes do prazo em perfeito estado! Produto ja testado e aprovado :D
5,Recebi certinho e no prazo estou satisfeita
5,"Atendimento, produto e entrega perfeitos "
5,Não utilizei mais gostei do que recebi
3,Produto poderia ser mais bem acabado. Mas creio que vá funcionar
5,Mais um cliente satisfeito pode ter certeza que vou fazer outras compras e indicar para todos amigos... Nota 1000  Parabéns 
1,Produto FALSIFICADO. Não atende aos selos de originalidade da EPSON; caixa colada com cola quente; recipiente de tinta sem lacre ! Absurdo !
1,Produto diferente do anunciado 
5,Excelente
1,"No meu pedido aparece que ja foi entregue, mas não recebi nada ainda"
4,produto atendeu as expectativa
5,produto muito bom facil manuseio e cumpre oque promete
5,"Ótimo, indicado!!!"
5,"Produto maravilhoso, compra fácil, entrega antes do prazo. Perfeito! Super indico."
4,"Produto de boa qualidade e chegou mais rápido que o esperado, super recomendo."
4,"O produto superou a expectativa. Com relação a embalagem, devido ao transporte pelos Correios, houve avaria na caixa do produto. Se fosse algo frágil iria ocorrer dano. Demais tudo otimo "
5,"Durante o transporte o correio informou que o produto havia se perdido, mandei um e-mail para a empresa e não me deram resposta, mas, o produto chegou na minha residência depois de alguns dias."
1,A loja pediu um prazo que eu considero muito longo para entrega e ainda assim não cumpriu
5,"Tudo ok,o baratheon sempre responsável com a suas entregas."
3,Já é o segundo produto que eu compro que informam a entrega sem o produto ter sido entregue. 
5,Rápido e Honesto. Recomendo 100%
1,"o produto chegou, o tempo foi bom.  Porém não estou confiante na empresa. Produto doce, procuramos pelo CNPJ da empresa e não encontramos, infelizmente não estamos seguros que o produto seja original."
5, Ótima qualidade entrega muito rápida recomendo 
5,Realmente o Produto foi entregue antes do Przo solicitado e com o Melhor Frete e Preço que pesquisei na Web. Recomendo.
5,Confiável e super indico 
3,"Foi tudo perfeito, tirando o sabor do produto que pedi baunilha e veio chocolate. Mas como não ligo mto pra isso e o sabor não tem tanta importância pra mim, nem liguei. "
3,Estou aguardando o produto.
1,"O produto não chegou e agora esta dizendo no rastreio que estão aguardando estoque, mas quando comprei dizia que tinha em estoque."
1,Produto entregue dentro de embalagem do fornecedor sem os parafusos de fixação das partes.
1,"Não entraram em contato comigo até o momento, só foi emitida a nota fiscal e mais nada. O prazo já passou. E até agora nada. "
5,Produto excelente. Entregs rápida
3,gostei do kit e recomendo essa loja
4,"Só achei a tampa do produto meio frágil, de resto parece ser muito boa."
1,"COM O PÉSSIMO SERVIÇO DE ENTREGA NAS COMPRAS ATRAVÉS DA INTERNET, VOU CANCELAR TODAS AS COMPRAS. NÃO ESTOU SATISFEITO COM O ATENDIMENTO NA ENTREGA DOS PRODUTOS COMPRADOS. PEÇO PROVIDÊNCIAS."
5,"Balança de ótima qualidade, tem suprido as minha necessidade com muita eficiência. "
1,Ate agora aguardando a entrega..Nâo cumprio o prazo
3,"O produto foi entregue no prazo, até uma semana antes, porém houve um imprevisto na minha entrega, tentei entrar em contato várias vezes sem nenhum sucesso, fiquei mais de semana sem saber de nada."
1,Não chego meu pedido
5,Veio antes do prazo que era de 38 dias veio em 7 dias e eu to amando 
4,Satisfeito com a compra realizada na lannister.com
5,Tudo OK.
2,Veio o copo errado. A lannister vendeu como  Copo de 470ml e veio copos de 400ml
5,"Chegou muito antes do previsto, comprar pelo site é rápido, confiável e prático."
5,Site super confiável! Produtos iguais ao da foto.  
5,Gostei do serviço 
1,Comprei 1 lençol de casal e 1 de solteiro. Recebi o de casal na cor errada e o de solteiro não recebi.
5,Show entregue antes do tempo parabéns.   
5,"excelente a entrega foi super rápida, estão de parabéns.    "
5,Muito rápido voltaria a comprar 
2,Veio uma corrente repetida 
1,COMPREI 2 CLORETO DE MAGNÉSIO CHEGARAM APENAS 1 UNIDADE.
5,Ótima empresa e rapida
1,RUIM
5,Tudo certo 
1,Boa noite minha compra foi realizada há mais de 3 meses e até hj nada.Acabou o verão e minha filha todos os dias pedia a bóia de unicórnio.Nao recebi o produto.
5,Produto veio bem antes do prazo adorei 
5,gostei demais
1,nao posso avaliar pois ainda nao recebi.26/12/2017
4,"Loja correta, séria. Entregador não respeitou prazo por causa da greve, mais não somente...precisei reclamar para acelerar a entrega. Loja = ok, produto = ok, entrega...👎👎👎👎"
5,Excelente produto e excelente loja.
5,Recebi antes do prazo estipulado. Foi muito bom...
5,Entrega pontual
5,otimo
5,"Recebi td certinho, boa qualidade"
5,A entrega foi rápida antes do prazo estipulado.  Muito satisfeita. 
4,Tudo ok porém ainda não testei o cartucho de tintas.
1,Produto entregue não foi o mesmo do anuncio. Embalagem diferente e bebida tambem. O que esta no anuncio tinha a garrafa de green label. E o que foi enviado tem a garrafa johnny walker platinum.
5,"A LOJA É ÓTIMA,POREM DESSA VEZ AINDA NAO RECEBIR MINHA MERCADORIA. "
5,Chegou bem rapido tudo d bom!
5,muito bom atendimento produtos corretos 
5,o produto superou as expectativas...Chegou dentro do prazo.
5,"O prazo para entrega era de 14 dias úteis, chegou em 2 dias! Muito bom! "
2,"a capinha a qualidade do plastico de dentro é boa a parte de fora ""couro"" é boa Porem a pelicula de vidro veio quebrada e bem quebrada,veio bem embalada oque indica que foi embalada ja quebrada.triste"
5,Comprometido
3,"Lojista enviou o produto na própria embalagem, virada do avesso - apresentação muito grosseira. Eu ia dar de presente e... não tive como fazê-lo! Tampa levemente amassada."
5,ótimo produto
5,"Ótimo produto, e chegou bem antes do prazo."
5,recomendo
5,"Preço bom, prazo de entrega curto e produto entregue corretamente sem defeitos aparentes."
2,"A entrega está demorada (20 dias), comprei 2 produtos e mandaram separado, só recebi 1 deles até agora. Não consigo saber quando irei e se irei receber meu Whey pq os Correios já deram baixa no código"
5,Satisfeita com a compra e com a empresa que foi rápida e eficiente como das outras vezes!
1,O produto consta como entregue mas nao recebi
2,"Recebi o produto bem antes do prazo previsto. No entanto, uma panela veio com fundo amassado e duas tampas com amassados, também. Entrarei em contato com a loja para saber qual procedimento darão."
5,"Entrega super rápida, chegou bem antes do esperado. O relógio é lindo, só é pequeno.. mas muito lindo!"
4,"Produto bom, chegou no prazo."
5,Muito bom os produtos e foi entregs bem antes do prazo 
4,"Me entregaram o produto certo, dentro do prazo."
4,"Fui atendida dentro do prazo, boa satisfação"
5,Muito bom!!
4,Muito bom
1,"Recebemos o produto, o boneco que comprei com fala, mas o botão veio quebrado, não produz a fala.    Preciso da troca imediata do produto    "
4,Os encaixes para o encosto da cadeira estavam desalinhados. Deu trabalho pra encaixar e finalmente montar o produto.
3,"Precisa melhorar no prazo de entrega, deveriam deixar de trabalhar com os correios o mesmo esta deixando muito a deseja."
5,Entrega mega rápida.
5,Parabéns.
3,"Somente algumas panelas um pouco amassadas, mas tirando isso super recomendo, as panelas são ótimas."
5,Ótimo  
1,O produto não foi recebido
5,Gostei do prazo.
5,"Apesar da mercadoria nao ter sido recebida, eles entraram em contato comigo e vao fazer a entrega no correios."
5,Tive muito prazer em comprar com voces
5,"Devido incompatibilidade vou devolver, ótimo produto! "
5,"Super rápido, muito bom"
5,Muito boa. bom  
4,Tudo certo!!!  Loja sempre prestativa. 
5,O produto é exatamente como imaginei
5,Excelente serviço e os produtos foram exatamente o que eu esperava.
1,"ATÉ HJ NAO RECEBI MEU PRODUTO E NAO SEI SE AINDA VAI CHEGAR,NOS EMAIL ENVIADOS NAO DESCREVE CLARAMENTE NADA"
5,Beleza e praticidade... a entrega foi dentro do prazo. Muito bom.
5,Aconselho a comprar nesta loja e entrega antes do prazo.
4,Muito bonito o produto...
1,"Não gostei dos travesseiros! Achei que fossem bons, não gostei mesmo!"
4,"tudo certo, dentro do esperado. Recomendo!"
1,O pedido chegou porém veio faltando um item.
5,Comprei num dia e chegou no outro. Nao podia ser melhor.
5,Meu filho amou a mochila... Perfeita..e melhor ainda chegou justo no aniversário dele.
3,Bom produto.    
5,Compro sempre atraves do baratheon e nunca tive problemas 
5,otimo atendimento
5,"Produto Bom,porém por falha minha não confirmei as medidas necessárias ;O tamanho menor seria melhor para as minhas necessidades (iluminação da bancada da pia)"
5,"fiz uma excelente compra, e um otimo atentimento parabéns "
5,Gostei muito do compromisso e pontualidade.  
5,Ótima malas bem reforçadas recomendaria 
3,Não foi entregue o mobile de carrinho.
5,Produto de qualidade e bem embalado!
2,Na descrição do produto dizia que a base do pendente também era na cor cobre. Mas os 5 que recebi a base é cor preta. 
1,Solicitado jogo americano e foi entregue capa para disco plato.
3,Recomendo.    
5,Recebi antes do prazo e o produto veio conforme esperado 
3,"Recebi o produto, só que o mesmo não foi um produto novo, e sim recondicionado acredito que ele não tenha sido testado, quando substituir entrou em curto, então tive que comprar um outro."
4,"Realmente lindas!! Tenho usado bastante, não manchou nem perdeu o brilho. Valeu cada centavo... Só não dei 5 estrelas porque achei o parafuso que prende as tampas é muito pequeno."
5,Otimo
1,A foto mostra um produto e recebi outro
1,"Até agora não recebi o produto. Encaminhei e-mail pra vcs e recebi apenas uma informação dizendo que aguardasse a entrega até o dia 05, mas, até agora, NADA."
5,"O produto foi entregue dentro do prazo, chegou do jeitinho que eu esperava e super bem embalado.  Adorei!!"
1,"Ainda não posso avaliar a loja, pois recebi meu produto com defeito e estou desde sábado tentando entrar em contato e ainda não obtive nenhuma resposta."
1,"Comprei o kit de 3 peças, cobre leito com capa de travesseiro, só recebi o cobertor e na cor errada.  "
1,"O TAPETE NÃO VEIO, SOMENTE O MOSQUITEIRO."
3,muito boa a loja a entrega foi entregue no prazo
5,o melhor site para comprar.
1,"comprei duas cortinas a malha pessima,lamentavel, uma esta em fase de devoluçao ,mas nao recomendo esse vendedormas gostaria de fazer a devoluçao das duas sem mais.aparecida"
4,Otima compra
2,"comprei a maquina com 2 bastidores extras, entretanto veio faltando o bastidor de bolso, fiz diversos contatos com a loja e email porem sem retorno. Aguardo contato e resolução do problema"
5,"Muito bom bem específicado na descrição, produto chegou no prazo sem defeito, só não chegou antes por demora da agência dos Correios. Parabéns."
5,"Ola Boa noite. Abri a encomenda Mt ansiosa pq amo este perfume... Mais qd abri vi que veio o perfume errado. Eu pedi errado, sem perceber. O q quero é o azul, nao o roxo. Posso trocar, por favor ! 🙏 "
5,"Esta é minha segunda ou terceira compra pelo stark e estou muito satisfeita, pois a entrega é feita em um prazo muito menor do que o informado e isso me traz muita satisfação!! "
4,Recomendo
5,Produto de acordo com o anunciado e entregue antes da expectativa.
5,Foi entregue muito antes do previsto.
5,PRODUTO ENTREGUE ANTES DO PRAZO. SUPER RECOMENDO. 
5,Super recomendo .. Entrega super rapida !
3,"Entrega antes do prazo, produto certinho..porém achei a cadeira meio bamba..mas nada que impacte muito!"
4,gostei 
4,"Tudo certinho, recomendo."
5,Produto chegou antes do prazo e era exatamente o que eu estava procurando
1,"O relógio entregue foi um modelo feminino e não unissex como consta na propaganda. É muito pequeno. No site aparenta ser grande, como desejava. Como não é possível uma troca, solicitei a devolução."
5,deu tudo certo . Meu livro chegou antes do prazo em ótimas condições
1,O produto enteque veio Errado 
1,"Produto não entregue, muito atrasado, acho que Americana vendeu produto que não existe."
5,Entregue antes do prazo. Recomendo
1,"Eu encomendei 2 mosquiteiros de solteiro Elegance e 1 queen. Chegaram 3 mosqueteiros de solteiro e nenhum queen. As 3 notas fiscais que vieram descrevem outros produtos, não os encomendados."
3,produto dentro das especificações chegou dentro do prazo pelo preço uma otima aquisição!!!
5,"Produto perfeito, entrege dentro do prazo."
5,Ótimo produto e entrega muito rápida.
5,Foi muito fácil e rápida a compra e entrega.
3,"Comprei dois produtos , chegou apenas um, quero meu boné"
4,"a entrega dos produtos e muito rapido ,mais dessa vez nao recebi meu produto,fico nos correios ,ai volto para a trasportadora"
1,Meu produto foi devolvido pelo os correio e a loja não me passou nenhuma informação até hoje.  Estou aguardando!  Vou espera essa semana se não eu vou cancela a compra.
5,Chegou antes do prazo e é muito bonito. Adorei!
3,"As bolsas chegaram bem antes do prazo, no entanto a bolsa grande veio com pequenas avarias; uma parte está descosturada e o acabamento dentro não estava tão bom quanto o da pequena, que veio perfeita."
1,Recebi um produto diferente do que comprei não cabe no celular é menor e não é compatível com as saídas de áudio botões laterais sai do do fone tudo diferente
5,Ótimo 
5,Chegou bem antes do prazo e conforme a descrição! Acabamento muito bom e preço melhor que as demais lojas! 
5,Muito bom   Entrega bem rápida 
5,"nao recomendo a loja, pois o processo de devolução é lento, nao há contato via fone só por email q demora mto e nao esclarece todas as informações.comprei notebook com defeito.estou penando a resolver"
5,Sabonetes de ótima qualidade! Recomendo!
5,O produto parece bom. O acabamento é bom.Vamos ver a durabilidade.
3,Produto nao é original.
4,Entregue dentro do prazo. Recomendo  
5,Muito bom 
5,"Entrega super rápida, e produto de qualidade, recomendo!"
4,Recebi a cor errada
5,Muito bom 
5,Só poderia entregue os 2produto junto.fora isto muito bom chegou antes do prazo .agora vou espera meu outro pedido chegar vou compra mais gostei muito. 
3,Produto descasando a tinta. Qualidade duvidosa.
4,...
5,Entregou antes do prazo valeu ótimo produto amei
4,Recomendo
1,"Até o momento não recebi a compra que, segundo informação no ato da compra, o prazo máximo seria 15/12. Comprei um brinquedo para uma criança que não recebeu o presente "
3,"Primeira vez que compro e o pedido veio certo, funcionando e dentro do prazo."
5,"gostei do atendimento, tempo da entrega e qualidade do produto"
1,"As toalhas vieram de cores diferentes, pedi só de uma cor ."
5,Muito bom! Recomendaria.Foi entregue antes do prazo.
5,"Melhor saite para entrega, chegou antes do prazo."
5,"A presilha do relógio eu achei um pouco insegura. é de pressão. Por isso é fácil de sair num esbarrão.  É bem bonito, tem um aspecto artesanal, com detalhes. Eu gostei muito."
5,Deu tudo certo
5,Bom demais
1,"Preciso da cadeira, comprei e já faz mais de um mês nada da entrega!!!"
4,O produto chegou no prazo é correspondeu às expectativas.
5,Chegou antes do prazo....muito bom. Continuam bons de serviço e de atendimento.
1,"A luva veio muito grande e não é igual da foto, pedi tamanho 12oz e parece que veio 14oz  "
5,"Adorei o produto, tempo de entrega rápido."
1,o site não atualiza as informações e não tem como reclamar que a mercadoria ta atrasada uma merda
5,"Excelente produto, com uma entrega surpreendente. Recomendo a loja a todos. "
1,"Produto com defeito apresenta risco por não ser confiável, já eviei e-mail e efetuei ligações e sem retorno."
5,Essa máscara é excelente e deixa o cabelo muito macio.
3,"no site estava como havia que já havia recebido tudo e um dos produtos não tinha vindo, "
1,Lamentável a lannister ter empresas que nem retomam ao cliente.   Sim o atendimento da lannister do reclameaqui me atendem.    Essa empresa já deveria ser removido site já deixei de comprar pq vi OL
5,Recomendo a loja e o produto
5,Quero agradecer a loja por ter entregue bem antes do prazo. Estou muito realizada com o produto.   Obrigada! Recomendo!!
5,Recebi o produto bem embalado e dentro do prazo informado.
1,Comprei um produto de 250m e recebi um produto 100m
5,Tudo ok!
5,gostei do produto e do prazo cumprido.
3,m
2,"FIZ UMA COMPRA DE DUAS LUMINÁRIAS , MEIA LUA , DIVULGADA NO SITE DA PROMOM.   NO DIA 25/06 RECEBI APENAS UMA DELAS,   ESTOU NO AGUARDO DA OUTRA LUMINARIA.   É MINHA PRIMEIRA COMPRA E ESTOU CHATEAD"
3, Bonita e muito confortavel 
4,òtima loja
1,"Não recebi os produtos, quero meu dinheiro de volta.  Por favor me reembolsar"
4,Apesar de ter recebido o produto correto as características e foto do site nao mostram claramente o produto. 
5,bom produto 
4,"demorou, mas chegou"
3,.
5,"Máquina leve e de fácil manuseio, apenas cuidado na hora de fazer a barba na área do pescoço, porque a lâmina é bem afiada. Eu recomendo, além de potente deixa o pêlo bem rente a pele."
5,Antes Du prazo recomendo🤙
5,"Jarra ótima para servir visitas com água, refrigerante...amei"
5,Kit bolsas lindas gostei muito!!
2,"Pedi azul e veio preta, fora que o auto falante superior infelizmente veio com ruídos , xiados. :("
5,"Escolhi a luminária, comprei e como é usual já esperava receber no prazo máximo. Na verdade, achei que era até um engano quando recebi poucos dias depois da compra e tudo conforme combinado no pedido."
5,Muito bom perfeito
5,"Ótimo produto, entrega rápida, parabéns!"
5,"Entrega bem antes do prazo, material bom, gostei muito e recomendo."
4,Material chegou conforme especificação e antes do prazo de entrega.
5,O produto chegou em perfeitas condições. Gostei.
4,"Diferente de pedidos anteriores, o presente foi entregue no prazo previsto, não obstante o relógio adquirido - bulova marine star - ser bem menor do que apresentado na internet. Porém, estou satisfeit"
5,"Veio bem antes do prazo, o teclado e o mouse funcionam na minha tv smart 4k da Samsung. Uma maravilha!"
1,Só entregaram uma cortina na cor bege e não entregaram a azul veio marcando na nota o produto mas o produto não veio
3,"O cesto de lixo já recebi, mas o jogo de pratos com 6 unidades não recebi, e os produtos foram comprados na mesma loja. Se puderem me dar um retorno. Obrigada..."
1,"Recebi o produto errado, há três dias tento resolver e não consigo. Quero devolver o que recebi e não sei como fazer. Quero receber o valor de volta, pois tive que comprar meu produto em outra loja."
5,"apesar de não ter recebido a fonte , considero targaryen uma empresa conceituada. assim, continuo aguardando a entrega do produto. atenciosamente, solange mesquita."
5,Prazo de entrega muito bom e produto de qualidade...
5,muito bom o oroduto
4,MERCADORIA ENTREGUE 
1,Esperando solução!
5,otimo produto
5,Ótimo produto e exatamente como descrito.
4,Entrega dentro do prazo. 
5,"SÓ TENHO AGRADECER , NADA A RECLAMAR"
4,ok
5,Quadros excelentes com ótimo acabamento.. satisfeita
5,"Leve, pequeno, encaixa bem na orelha, pareia com facilidade, possui um bom som, ótimo alcance (aproximadamente 10 metros). Ainda não posso falar sobre a duração da bateria e a resistência a água."
4,bom esse pendrive
2,"Prazo de entrega muito longo, um produto q poderia ter vindo em uma semana demorou um mês"
4,"Gostei do produto , recomendo, chegou antes do prazo e de boa qualidade."
5,EMPRESA RESPONSAVEL E PREOCUPADA COM SEUS CLIENTES SUPER RECOMENDO.
5,Produto muito bom. Excelente qualidade entrega no prazo.
1,"1 mês e ate hj minha encomenda não chegou e o vendedor nem se quer deu satisfação explicando algo mandei 4 reclamação e nada dele responder,"
3,"Percebi q havia pedido a voltagem equivocada assim q enviei o pedido. Tentei ligar, fazer contato pelo site, enfim todas as possibilidades! E não consegui fazer contato. Estou pedindo a devolução "
1,"os produtos são ótimos, mas fui enganada, pois assistindo a propaganda do prime, foi informado q todo e qualquer produto adquirido no baratheon prime, não pagaria frete, assinei o prime, aí nem todos p"
5,Gostei do produto recomendo
5,Gostei da loja.entregaram muito antes do prazo. Vou comprar mais. Aprovado
4,"Gostei da luva, preço acessível e entrega rápida!"
5,Foi como eu esperava.  
5,".Estou satisfeita com todas as compras que já fiz.Produtos bons, ótimo atendimento e entrega no prazo previsto"
3,Produto bom e entrega antes do prazo.
1,"Ainda recebi o produto,já passou do prazo estimado e paguei o frete"
1,Tá demorando mt
4,O e-mail consta relógio e gravadora mas somente foi entregue o relógio pelo correio
1,"Não recebi o produto comprado completo. Comprei dois pendentes, mas só entregaram um.  Como faço para receber o restante?"
1,O produto ainda não foi entregue. Recebi a mensagem de que houve dificuldade na entrega
1,"Produto entregue não condiz com o produto comprado, péssima qualidade, assessório veio quebrado."
1,Depois de mais de 30 dias da compra efetuada recebo um e-mail informando que o produto que comprei não estava mais disponível. Simplesmente um descaso com o consumidor e um atendimento lamentável.
1,O produto não foi entregue até o momento. Realizei na mesma data a compra de outros produtos ( um outro óculos e uma bicicleta) que já foram entregues. Como proceder?
1,Antes do produto voltar para o emitente deveriam entrar em contato com o remetente primeiro.pois assim evitaria muito transtornos. 
5,"Recomendo as lannister, e quero continuar recebendo promoções de produtos."
5,Entrega veio certinho o prazo correto sem nenhuma danificacao do produto amei
5,muito bom
5,Adorei!! Perfeito!!
3,"Informação Conflitante ,queria comprar Fone De Ouvido Headphone Sem Fio de um valor superior porem o vendedor não entregava na minha cidade,de um valor menor vendeu e entregou .Como assim? "
3,Demora muito a entregar 
1,Bom
5,Satisfeito
5,Mais uma vez a lannister.com se superou e entregou o produto antes do combinado. Estou muito satisfeito.
5,"Tomei 40 capsulas e ainda estou vivo, portanto é um bom produto."
5,"Ótimo produto, amei e entrega antes do prazo, portanto tudo perfeito!"
1,Acredito que o problema esteja nos correios mas o fornecedor não entra em contato para resolver a questão.
5,"Bonito, bom e chegou rápido"
4,Gostei.....é bem o que esperava....
1,Falta de respeito com o consumidor....infelizmente não são confiáveis.....acho que terei que abrir processo para conseguir ter meus direitos .
1,NAO TIVE RETORNO E NAO RECEBI A MERCADORIA COM MAIS DE 20 DIAS DE PEDIDO APROVADO
5,Entrega antes do Prazo
5,Muito bom o atendimento e a entrega foi muito tempo antes do estipulado.
5,"Otima, chegou até antes do prazo, e conforme o pedido"
5,"trata-se de empresa renomada, portanto, isso é uma das virtudes desta empresa pelo grau de confiabilidade e honestidade. Recomendo a todos que interessarem que podem fazer compras através desse site."
5,"Muito bom de boa qualidade ,chegou antes do prazo e as bolsas são grandes cabe bastante coisa .vai ser muito útil na chegada do meu bebe obrigada lojas lannister?"
4,"Gostei do produto e a entrega supre rápida, show."
5,"Sim, já comprei e sempre compro, estou satisfeito com os produtos e seus prazos de entrega. "
4,Gostei da loja e do atendimento
4,"Produto de acordo com o meu pedido, atende aos meus projetos, muito bom."
5,Chegou na data informada estou satisfeita com o produto
2,Ainda não recebi o produto 
5,Adorei.
3,Não gostei do material nem do acabamento. 
4,Bom
5,"gostei muito, exatamente como esperava"
3,"Fiz o pedido de duas unidades, mas recebi somente uma unidade. Não sei se os produtos foram enviados separadamente, mas até o momento não recebi uma das unidades."
5,Adorei o pelinhos deles
5,"Material muito bom, alta durabilidade (já tive uma que durou mais de um ano) e não fica com gosto dos suplementos. Recomendo!"
