cohort_month,month_number,active_customers,retention_rate
2017-09-01,6,9,0.2247752247752248
2017-09-01,7,10,0.24975024975024976
2017-09-01,8,11,0.27472527472527475
2017-09-01,9,7,0.17482517482517482
2017-09-01,10,10,0.24975024975024976
2017-09-01,11,3,0.074925074925074928
2017-10-01,0,4328,100.0
2017-10-01,1,31,0.7162661737523105
2017-10-01,2,11,0.25415896487985212
2017-10-01,3,4,0.092421441774491686
2017-10-01,4,10,0.23105360443622922
2017-10-01,5,9,0.20794824399260628
2017-10-01,6,9,0.20794824399260628
2017-10-01,7,16,0.36968576709796674
2017-10-01,8,12,0.27726432532347506
2017-10-01,9,8,0.18484288354898337
2017-10-01,10,9,0.20794824399260628
2017-11-01,0,7060,100.0
2017-11-01,1,40,0.56657223796034
2017-11-01,2,26,0.36827195467422097
2017-11-01,3,12,0.16997167138810199
2017-11-01,4,12,0.16997167138810199
2017-11-01,5,13,0.18413597733711048
2017-11-01,6,8,0.11331444759206798
2017-11-01,7,13,0.18413597733711048
2017-11-01,8,9,0.12747875354107649
2017-11-01,9,4,0.056657223796033988
2017-12-01,0,5338,100.0
2017-12-01,1,11,0.20606968902210565
2017-12-01,2,15,0.28100412139378039
2017-12-01,3,18,0.3372049456725365
2017-12-01,4,14,0.26227051330086176
2017-12-01,5,11,0.20606968902210565
2017-12-01,6,9,0.16860247283626825
2017-12-01,7,1,0.018733608092918696
2017-12-01,8,10,0.18733608092918697
2018-01-01,0,6842,100.0
2018-01-01,1,23,0.33615901783104357
2018-01-01,2,25,0.36539023677287341
2018-01-01,3,20,0.29231218941829873
2018-01-01,4,20,0.29231218941829873
2018-01-01,5,11,0.16077170418006431
2018-01-01,6,12,0.17538731365097923
2018-01-01,7,16,0.233849751534639
2018-02-01,0,6288,100.0
2018-02-01,1,22,0.34987277353689566
2018-02-01,2,25,0.3975826972010178
2018-02-01,3,19,0.30216284987277353
2018-02-01,4,16,0.2544529262086514
2018-02-01,5,14,0.22264631043256997
2018-02-01,6,13,0.20674300254452924
2018-03-01,0,6774,100.0
2018-03-01,1,27,0.39858281665190437
2018-03-01,2,20,0.29524653085326247
2018-03-01,3,20,0.29524653085326247
2018-03-01,4,8,0.11809861234130499
2018-03-01,5,8,0.11809861234130499
2018-04-01,0,6582,100.0
2018-04-01,1,39,0.59252506836827712
2018-04-01,2,20,0.30385900941962929
2018-04-01,3,16,0.24308720753570343
2018-04-01,4,9,0.13673655423883319
2018-05-01,0,6506,100.0
2018-05-01,1,34,0.522594528127882
2018-05-01,2,17,0.261297264063941
2018-05-01,3,12,0.18444512757454656
2018-06-01,0,5878,100.0
2018-06-01,1,25,0.42531473290234773
2018-06-01,2,16,0.27220142905750255
2018-07-01,0,5949,100.0
2018-07-01,1,31,0.52109598251807032
2018-08-01,0,6144,100.0
